Album,Artist,Duration,Album Release Year,Vinyl Release Year,Format,Track Count
Who Really Cares,TV Girl,37,2016,2022,1xLP,10
1984,Van Halen,34,1984,2015,1xLP,9
Space Jam,Various,65,1996,2021,2xLP,14
Guardians of the Galaxy: Awesome Mix Vol. 1,Various,45,2014,2017,1xLP,12
Moana The Songs,Various,29,2016,2017,1xLP,13
Guardians of the Galaxy Vol. 2: Awesome Mix Vol. 2,Various,54,2017,2020,1xLP,14
Evangelion Finally,Various,79,2020,2021,2xLP,15
Pokémon 25: The Album,Various,43,2021,2022,1xLP,10
Loaded,"Velvet Underground, The",41,1970,2014,1xLP,10
A Charlie Brown Christmas,Vince Guaraldi Trio,40,1965,2021,1xLP,12
Virtue,"Voidz, The",59,2018,2018,2xLP,15
Rat Saw God,Wednesday,38,2023,2023,1xLP,10
After Hours,"Weeknd, The",57,2020,2020,2xLP,14
Dawn FM,"Weeknd, The",52,2022,2022,2xLP,16
Weezer (the blue album),Weezer,42,1994,2020,1xLP,10
Pinkerton,Weezer,35,1996,2018,1xLP,10
OK Human,Weezer,31,2021,2021,1xLP,12
Enter The Wu-Tang (36 Chambers),Wu-Tang Clan,59,1993,2017,1xLP,13
JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overature,Yugo Kanno,64,2018,2023,2xLP,26
Heaven To A Tortured Mind,Yves Tumor,37,2020,2020,1xLP,12
